City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Cozumel,MX,86.07,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
1,Vila Velha,BR,84.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
3,Guerrero Negro,MX,79.56,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
10,Garowe,SO,86.68,light rain,8.4054,48.4845,Curubo Hotel
23,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Sechura,PE,75.38,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
31,Columbus,US,78.28,broken clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
37,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
41,Butaritari,KI,82.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
42,Laguna,US,83.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
46,San Quintin,MX,79.63,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
49,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
53,Gat,IL,76.82,few clouds,31.61,34.7642,OlusHome
68,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
76,Victoria,HK,86.38,light rain,22.2855,114.1577,Mini Hotel Central
79,Navolato,MX,82.63,overcast clouds,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
83,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
86,Butaritari,KI,82.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
89,Harper,LR,79.5,overcast clouds,4.375,-7.7169,Screensaver
92,Labuhan,ID,78.33,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
100,Butaritari,KI,82.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
108,Touros,BR,86.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
133,Filadelfia,US,76.48,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
134,Cabo San Lucas,MX,81.95,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
140,Auki,SB,77.31,broken clouds,-8.7676,160.7034,Auki Motel
141,Butaritari,KI,82.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
147,Tayu,ID,77.31,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
165,Kaduqli,SD,79.21,overcast clouds,11.0167,29.7167,فندق الله جابو
167,Sao Filipe,CV,80.13,scattered clouds,14.8961,-24.4956,Hotel Xaguate
170,Mayo,US,79.11,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
173,Sao Joao Da Barra,BR,87.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
178,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
183,San Cristobal,VE,86.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
187,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
188,Kavaratti,IN,82.08,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
192,Faanui,PF,79.29,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
197,Pacific Grove,US,82.62,clear sky,36.6177,-121.9166,Lovers Point Inn
198,Bambanglipuro,ID,76.42,overcast clouds,-7.95,110.2833,Puri Brata
200,Guerrero Negro,MX,79.56,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
203,Ghogha,IN,85.64,overcast clouds,21.6833,72.2833,hanumanji temple of bhankhal
204,Cozumel,MX,86.07,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
207,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
209,Ponta Do Sol,PT,77.72,clear sky,32.6667,-17.1,Hotel do Campo
216,Hithadhoo,MV,82.96,scattered clouds,-0.6,73.0833,Scoop Guest House
217,Makakilo City,US,75.52,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
233,Hamilton,US,79.74,haze,39.1834,-84.5333,Six Acres Bed & Breakfast
234,Kanniyakumari,IN,79.68,scattered clouds,8.0833,77.5667,Sparsa
241,Kavieng,PG,81.12,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
246,Sidhi,IN,77.7,scattered clouds,24.4167,81.8833,Kamdhenu Sweets
250,Gopamau,IN,82.69,scattered clouds,27.55,80.2833,श्रीराम पाल भवन
252,Grand-Santi,GF,89.98,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
254,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
258,Villa Carlos Paz,AR,84.4,few clouds,-31.4241,-64.4978,Monte Carlo
259,Saint Marys,US,89.04,overcast clouds,30.7305,-81.5465,Spencer House Inn
264,Dingle,PH,76.84,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
272,Kavaratti,IN,82.08,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
273,Kulhudhuffushi,MV,82.2,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
278,Port-Gentil,GA,78.33,overcast clouds,-0.7193,8.7815,Fengshui Residence
281,Bengkulu,ID,76.84,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
284,Bosaso,SO,87.71,few clouds,11.2842,49.1816,Red Sea Hotel
287,Menongue,AO,79.48,clear sky,-14.6585,17.691,Ritz Lauca
295,Lorengau,PG,79.65,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
296,Townsend,US,77.22,scattered clouds,39.3951,-75.6916,Frederick Lodge Manufactured Home Community
306,Mocorito,MX,85.26,overcast clouds,25.4833,-107.9167,Casa de Don Eustaquio
308,San Quintin,MX,79.63,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
317,Salta,AR,83.57,clear sky,-24.7859,-65.4117,Hotel Alejandro I
318,Yarada,IN,82.72,few clouds,17.65,83.2667,Jeevan
328,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
335,Isla Mujeres,MX,84.25,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
337,Honiara,SB,77.76,overcast clouds,-9.4333,159.95,Heritage Park Hotel
356,Manaus,BR,84.69,thunderstorm,-3.1019,-60.025,Manaus Hotéis Millennium
358,Celestun,MX,88.16,broken clouds,20.8667,-90.4,Posada Lilia
359,Ternate,ID,80.22,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
372,Samarai,PG,79.18,scattered clouds,-10.6167,150.6667,Nuli Sapi
