City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Cozumel,MX,20.5083,-86.9458,86.07,78,40,1.99,scattered clouds
1,Vila Velha,BR,-20.3297,-40.2925,84.15,65,0,20.71,clear sky
2,Eskil,TR,38.4017,33.4131,61.92,42,60,8.32,broken clouds
3,Guerrero Negro,MX,27.9769,-114.0611,79.56,52,3,0.34,clear sky
4,Ushuaia,AR,-54.8,-68.3,44.26,53,75,9.22,broken clouds
5,Busselton,AU,-33.65,115.3333,51.08,56,93,20.94,overcast clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,71.98,81,91,10.04,overcast clouds
7,Batagay-Alyta,RU,67.8006,130.4114,16.45,85,2,3.31,clear sky
8,Port Alfred,ZA,-33.5906,26.891,57.81,57,55,35.03,broken clouds
9,Verin,ES,41.9415,-7.4381,68.27,76,100,7.96,overcast clouds
10,Garowe,SO,8.4054,48.4845,86.68,44,93,5.46,light rain
11,Nikolskoye,RU,59.7035,30.7861,50.02,87,78,5.19,broken clouds
12,Hobart,AU,-42.8794,147.3294,53.46,100,90,3.44,heavy intensity drizzle
13,Sobolevo,RU,54.4299,31.8996,45.68,79,47,6.96,scattered clouds
14,Ushuaia,AR,-54.8,-68.3,44.26,53,75,9.22,broken clouds
15,Port Hardy,CA,50.6996,-127.4199,50.18,93,90,6.91,moderate rain
16,Avarua,CK,-21.2078,-159.775,73.45,88,75,5.75,moderate rain
17,Yellowknife,CA,62.456,-114.3525,47.41,89,75,5.99,broken clouds
18,Tiznit,MA,29.5833,-9.5,85.41,23,0,9.13,clear sky
19,Yellowknife,CA,62.456,-114.3525,47.41,89,75,5.99,broken clouds
20,Dneprovskaya,RU,45.6236,38.8081,58.05,62,13,16.6,few clouds
21,Rikitea,PF,-23.1203,-134.9692,72.43,73,3,21.72,light rain
22,Tiznit,MA,29.5833,-9.5,85.41,23,0,9.13,clear sky
23,Kapaa,US,22.0752,-159.319,75.52,81,75,1.01,broken clouds
24,Kodiak,US,57.79,-152.4072,36.91,48,90,18.41,overcast clouds
25,Vaini,TO,-21.2,-175.2,71.76,94,75,10.36,broken clouds
26,Jamestown,US,42.097,-79.2353,74.17,53,1,4,clear sky
27,Mar Del Plata,AR,-38.0023,-57.5575,64.42,29,0,11.99,light rain
28,Jamestown,US,42.097,-79.2353,74.17,53,1,4,clear sky
29,Mataura,NZ,-46.1927,168.8643,47.48,89,100,1.19,moderate rain
30,Sechura,PE,-5.5569,-80.8222,75.38,57,47,11.61,scattered clouds
31,Columbus,US,39.9612,-82.9988,78.28,56,75,6.91,broken clouds
32,Mount Gambier,AU,-37.8333,140.7667,53.51,94,90,10.36,overcast clouds
33,Longyearbyen,SJ,78.2186,15.6401,37.24,87,75,5.75,light rain
34,Nokaneng,BW,-19.6667,22.2667,81.19,11,0,7,clear sky
35,Poum,NC,-20.2333,164.0167,73.71,84,20,17.45,few clouds
36,Punta Arenas,CL,-53.15,-70.9167,46.51,66,75,19.57,broken clouds
37,Atuona,PF,-9.8,-139.0333,77.95,74,37,23.02,scattered clouds
38,Biltine,TD,14.5333,20.9167,93.88,15,0,6.11,clear sky
39,Honningsvag,NO,70.9821,25.9704,48.9,88,100,22.62,overcast clouds
40,Hobart,AU,-42.8794,147.3294,53.46,100,90,3.44,heavy intensity drizzle
41,Butaritari,KI,3.0707,172.7902,82.49,70,99,22.21,overcast clouds
42,Laguna,US,38.421,-121.4238,83.44,36,1,3.44,clear sky
43,Cape Town,ZA,-33.9258,18.4232,56.26,54,40,12.66,scattered clouds
44,Hammerfest,NO,70.6634,23.6821,52.25,76,0,4.61,clear sky
45,Alihe,CN,50.5667,123.7167,32.36,87,78,3.29,broken clouds
46,San Quintin,MX,30.4833,-115.95,79.63,42,98,3.74,overcast clouds
47,Yurga,RU,55.7231,84.8861,32.49,92,100,9.6,overcast clouds
48,Busselton,AU,-33.65,115.3333,51.08,56,93,20.94,overcast clouds
49,Georgetown,MY,5.4112,100.3354,80.89,85,20,0,few clouds
50,Bredasdorp,ZA,-34.5322,20.0403,51.28,66,83,5.75,broken clouds
51,Rikitea,PF,-23.1203,-134.9692,72.43,73,3,21.72,light rain
52,Hermanus,ZA,-34.4187,19.2345,53.91,59,59,6.35,broken clouds
53,Gat,IL,31.61,34.7642,76.82,70,11,6.64,few clouds
54,Carnarvon,AU,-24.8667,113.6333,62.67,72,0,10.36,clear sky
55,Riyadh,SA,24.6877,46.7219,91.54,11,22,5.21,few clouds
56,Chernyshevskiy,RU,63.0128,112.4714,27.93,84,68,1.48,broken clouds
57,Saint-Joseph,RE,-21.3667,55.6167,70.21,80,29,10.33,scattered clouds
58,Chokurdakh,RU,70.6333,147.9167,3.58,98,25,4.41,scattered clouds
59,Chifeng,CN,42.2683,118.9636,62.94,72,98,16.93,overcast clouds
60,Sorland,NO,67.667,12.6934,49.89,79,100,2.37,overcast clouds
61,Minot,US,48.2325,-101.2963,67.19,42,1,10.36,clear sky
62,Camacha,PT,33.0833,-16.3333,71.02,64,40,10.36,scattered clouds
63,Kaitangata,NZ,-46.2817,169.8464,46.27,92,100,4.68,overcast clouds
64,Ribeira Grande,PT,38.5167,-28.7,73.8,88,75,14.97,broken clouds
65,Hasaki,JP,35.7333,140.8333,68.4,74,65,7.83,broken clouds
66,Hobart,AU,-42.8794,147.3294,53.46,100,90,3.44,heavy intensity drizzle
67,Asosa,ET,10.0667,34.5333,61.11,97,98,1.81,light rain
68,Kapaa,US,22.0752,-159.319,75.52,81,75,1.01,broken clouds
69,Vaini,TO,-21.2,-175.2,71.76,94,75,10.36,broken clouds
70,Constitucion,CL,-35.3333,-72.4167,56.46,50,6,13.76,clear sky
71,Clyde River,CA,70.4692,-68.5914,39.43,87,90,9.22,overcast clouds
72,Rikitea,PF,-23.1203,-134.9692,72.43,73,3,21.72,light rain
73,Flinders,AU,-34.5833,150.8552,56.21,91,5,1.01,clear sky
74,Albany,US,42.6001,-73.9662,72.63,69,93,8.16,overcast clouds
75,Pevek,RU,69.7008,170.3133,24.04,63,43,20.98,scattered clouds
76,Victoria,HK,22.2855,114.1577,86.38,78,16,5.99,light rain
77,Avarua,CK,-21.2078,-159.775,73.45,88,75,5.75,moderate rain
78,Mehamn,NO,71.0357,27.8492,50.14,85,96,18.95,overcast clouds
79,Navolato,MX,24.7672,-107.6944,82.63,81,100,1.83,overcast clouds
80,Rikitea,PF,-23.1203,-134.9692,72.43,73,3,21.72,light rain
81,Norman Wells,CA,65.282,-126.8329,41.04,75,75,8.05,broken clouds
82,Mataura,NZ,-46.1927,168.8643,47.48,89,100,1.19,moderate rain
83,Kloulklubed,PW,7.0419,134.2556,81.1,77,100,14.32,overcast clouds
84,Hilo,US,19.7297,-155.09,73.13,85,75,6.91,light rain
85,East London,ZA,-33.0153,27.9116,59.13,60,70,29.82,broken clouds
86,Butaritari,KI,3.0707,172.7902,82.49,70,99,22.21,overcast clouds
87,Punta Arenas,CL,-53.15,-70.9167,46.51,66,75,19.57,broken clouds
88,Yellowknife,CA,62.456,-114.3525,47.41,89,75,5.99,broken clouds
89,Harper,LR,4.375,-7.7169,79.5,81,98,8.48,overcast clouds
90,Vaini,TO,-21.2,-175.2,71.76,94,75,10.36,broken clouds
91,Ojhar,IN,20.1,73.9333,74.86,89,98,2.46,overcast clouds
92,Labuhan,ID,-6.8844,112.2051,78.33,73,100,12.37,overcast clouds
93,Antofagasta,CL,-23.65,-70.4,60.08,64,13,10.87,few clouds
94,Barrow,US,71.2906,-156.7887,30.22,74,90,16.11,overcast clouds
95,Bambous Virieux,MU,-20.3428,57.7575,74.21,73,40,17.27,scattered clouds
96,Rikitea,PF,-23.1203,-134.9692,72.43,73,3,21.72,light rain
97,Ekhabi,RU,53.5102,142.9671,40.69,81,39,7.65,scattered clouds
98,Provideniya,RU,64.3833,-173.3,21.58,78,4,6.35,clear sky
99,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,93,90,9.22,overcast clouds
100,Butaritari,KI,3.0707,172.7902,82.49,70,99,22.21,overcast clouds
101,Kodiak,US,57.79,-152.4072,36.91,48,90,18.41,overcast clouds
102,Airai,TL,-8.9266,125.4092,60.31,91,99,0.34,overcast clouds
103,Jamestown,US,42.097,-79.2353,74.17,53,1,4,clear sky
104,Yellowknife,CA,62.456,-114.3525,47.41,89,75,5.99,broken clouds
105,Esperance,AU,-33.8667,121.9,56.73,71,30,22.15,scattered clouds
106,Barrow,US,71.2906,-156.7887,30.22,74,90,16.11,overcast clouds
107,Port Townsend,US,48.117,-122.7605,56.21,88,90,1.99,overcast clouds
108,Touros,BR,-5.1989,-35.4608,86.9,60,6,16.17,clear sky
109,Punta Arenas,CL,-53.15,-70.9167,46.51,66,75,19.57,broken clouds
110,Yerbogachen,RU,61.2767,108.0108,26.42,90,46,1.79,scattered clouds
111,Port Elizabeth,ZA,-33.918,25.5701,52.11,82,40,21.85,scattered clouds
112,College,US,64.8569,-147.8028,31.95,95,90,4.61,snow
113,Hobart,AU,-42.8794,147.3294,53.46,100,90,3.44,heavy intensity drizzle
114,Puerto Ayora,EC,-0.7393,-90.3518,71.98,81,91,10.04,overcast clouds
115,Punta Arenas,CL,-53.15,-70.9167,46.51,66,75,19.57,broken clouds
116,Chokurdakh,RU,70.6333,147.9167,3.58,98,25,4.41,scattered clouds
117,Beloha,MG,-25.1667,45.05,74.17,62,27,5.44,scattered clouds
118,Skelleftea,SE,64.7507,20.9528,50.36,64,99,4.61,overcast clouds
119,Rikitea,PF,-23.1203,-134.9692,72.43,73,3,21.72,light rain
120,Whitehorse,CA,60.7161,-135.0538,41.77,65,90,23,light rain
121,Kaeo,NZ,-35.1,173.7833,54.32,90,70,6.49,broken clouds
122,Port Alfred,ZA,-33.5906,26.891,57.81,57,55,35.03,broken clouds
123,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,98.69,31,60,8.25,broken clouds
124,Mount Gambier,AU,-37.8333,140.7667,53.51,94,90,10.36,overcast clouds
125,Busselton,AU,-33.65,115.3333,51.08,56,93,20.94,overcast clouds
126,Dukat,RU,62.55,155.55,23.02,87,8,6.8,clear sky
127,Bredasdorp,ZA,-34.5322,20.0403,51.28,66,83,5.75,broken clouds
128,Punta Arenas,CL,-53.15,-70.9167,46.51,66,75,19.57,broken clouds
129,Portland,US,45.5234,-122.6762,59.9,86,90,1.01,mist
130,Paysandu,UY,-32.3214,-58.0756,74.43,52,10,10.38,clear sky
131,Grindavik,IS,63.8424,-22.4338,44.55,81,75,31.07,broken clouds
132,Rikitea,PF,-23.1203,-134.9692,72.43,73,3,21.72,light rain
133,Filadelfia,US,39.9523,-75.1638,76.48,59,90,5.99,overcast clouds
134,Cabo San Lucas,MX,22.8909,-109.9124,81.95,88,75,4.61,broken clouds
135,Luena,AO,-11.7833,19.9167,66.02,79,87,3.94,overcast clouds
136,Saint Anthony,US,45.0205,-93.218,71.02,89,90,1.01,mist
137,Cape Town,ZA,-33.9258,18.4232,56.26,54,40,12.66,scattered clouds
138,Fairbanks,US,64.8378,-147.7164,32.59,94,90,9.22,snow
139,Grindavik,IS,63.8424,-22.4338,44.55,81,75,31.07,broken clouds
140,Auki,SB,-8.7676,160.7034,77.31,86,84,2.64,broken clouds
141,Butaritari,KI,3.0707,172.7902,82.49,70,99,22.21,overcast clouds
142,Rikitea,PF,-23.1203,-134.9692,72.43,73,3,21.72,light rain
143,Peleduy,RU,59.6289,112.7406,24.04,97,89,0.45,overcast clouds
144,Kaitangata,NZ,-46.2817,169.8464,46.27,92,100,4.68,overcast clouds
145,Fuji,JP,35.1667,138.6833,69.96,86,1,6.53,clear sky
146,Mangan,IN,27.5167,88.5333,70.81,84,43,5.06,scattered clouds
147,Tayu,ID,-6.5397,111.0518,77.31,75,97,8.05,overcast clouds
148,Isangel,VU,-19.55,169.2667,72.64,94,100,11.72,light rain
149,Busselton,AU,-33.65,115.3333,51.08,56,93,20.94,overcast clouds
150,Luderitz,NA,-26.6481,15.1594,61.16,60,0,29.28,clear sky
151,Avarua,CK,-21.2078,-159.775,73.45,88,75,5.75,moderate rain
152,Rikitea,PF,-23.1203,-134.9692,72.43,73,3,21.72,light rain
153,Ribeira Grande,PT,38.5167,-28.7,73.8,88,75,14.97,broken clouds
154,Grimshaw,CA,56.1834,-117.6027,51.03,57,90,10.36,overcast clouds
155,New Norfolk,AU,-42.7826,147.0587,53.1,74,100,1.01,overcast clouds
156,Lata,PT,40.1629,-8.3327,70.03,76,100,8.1,overcast clouds
157,Rikitea,PF,-23.1203,-134.9692,72.43,73,3,21.72,light rain
158,Troitsko-Pechorsk,RU,62.7084,56.1964,32.68,83,66,4.72,broken clouds
159,Rikitea,PF,-23.1203,-134.9692,72.43,73,3,21.72,light rain
160,Yumen,CN,40.2833,97.2,47.95,35,38,16.6,scattered clouds
161,Hilo,US,19.7297,-155.09,73.13,85,75,6.91,light rain
162,Punta Arenas,CL,-53.15,-70.9167,46.51,66,75,19.57,broken clouds
163,New Norfolk,AU,-42.7826,147.0587,53.1,74,100,1.01,overcast clouds
164,Hilo,US,19.7297,-155.09,73.13,85,75,6.91,light rain
165,Kaduqli,SD,11.0167,29.7167,79.21,46,99,1.07,overcast clouds
166,Clyde River,CA,70.4692,-68.5914,39.43,87,90,9.22,overcast clouds
167,Sao Filipe,CV,14.8961,-24.4956,80.13,81,40,7.02,scattered clouds
168,Hilo,US,19.7297,-155.09,73.13,85,75,6.91,light rain
169,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,93,90,9.22,overcast clouds
170,Mayo,US,38.8876,-76.5119,79.11,66,40,4,scattered clouds
171,Balkanabat,TM,39.5108,54.3671,66.67,29,0,5.68,clear sky
172,Upernavik,GL,72.7868,-56.1549,30.76,84,41,4.34,scattered clouds
173,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,75,89,12.95,overcast clouds
174,Rikitea,PF,-23.1203,-134.9692,72.43,73,3,21.72,light rain
